debugSOD05T:debugLI9205,5,1487824094317,"{""rt"": 296, ""trial_type"": ""single-stim"", ""stimulus"": ""/static/images/blue.png"", ""key_press"": 70, ""response"": ""go"", ""trial_index"": 3}"
debugSOD05T:debugLI9205,6,1487824095942,"{""rt"": 304, ""trial_type"": ""single-stim"", ""stimulus"": ""/static/images/blue.png"", ""key_press"": 70, ""response"": ""go"", ""trial_index"": 4}"
debugSOD05T:debugLI9205,7,1487824097973,"{""rt"": 298, ""trial_type"": ""single-stim"", ""stimulus"": ""/static/images/orange.png"", ""key_press"": 70, ""response"": ""no-go"", ""trial_index"": 5}"
debugSOD05T:debugLI9205,8,1487824100403,"{""rt"": 228, ""trial_type"": ""single-stim"", ""stimulus"": ""/static/images/blue.png"", ""key_press"": 70, ""response"": ""go"", ""trial_index"": 6}"
debugSOD05T:debugLI9205,9,1487824102087,"{""rt"": 303, ""trial_type"": ""single-stim"", ""stimulus"": ""/static/images/blue.png"", ""key_press"": 70, ""response"": ""go"", ""trial_index"": 7}"
debugSOD05T:debugLI9205,10,1487824105522,"{""rt"": -1, ""trial_type"": ""single-stim"", ""stimulus"": ""/static/images/orange.png"", ""key_press"": -1, ""response"": ""no-go"", ""trial_index"": 8}"
debugSOD05T:debugLI9205,11,1487824107495,"{""rt"": 307, ""trial_type"": ""single-stim"", ""stimulus"": ""/static/images/orange.png"", ""key_press"": 70, ""response"": ""no-go"", ""trial_index"": 9}"
debugSOD05T:debugLI9205,12,1487824108833,"{""rt"": 286, ""trial_type"": ""single-stim"", ""stimulus"": ""/static/images/blue.png"", ""key_press"": 70, ""response"": ""go"", ""trial_index"": 10}"
debugSOD05T:debugLI9205,13,1487824112429,"{""rt"": -1, ""trial_type"": ""single-stim"", ""stimulus"": ""/static/images/orange.png"", ""key_press"": -1, ""response"": ""no-go"", ""trial_index"": 11}"
debugSOD05T:debugLI9205,14,1487824113854,"{""rt"": 341, ""trial_type"": ""single-stim"", ""stimulus"": ""/static/images/orange.png"", ""key_press"": 70, ""response"": ""no-go"", ""trial_index"": 12}"
debugSOD05T:debugLI9205,15,1487824117572,"{""rt"": -1, ""trial_type"": ""single-stim"", ""stimulus"": ""/static/images/orange.png"", ""key_press"": -1, ""response"": ""no-go"", ""trial_index"": 13}"
debugSOD05T:debugLI9205,16,1487824120000,"{""rt"": 314, ""trial_type"": ""single-stim"", ""stimulus"": ""/static/images/blue.png"", ""key_press"": 70, ""response"": ""go"", ""trial_index"": 14}"
debugSOD05T:debugLI9205,17,1487824122617,"{""rt"": -1, ""trial_type"": ""single-stim"", ""stimulus"": ""/static/images/orange.png"", ""key_press"": -1, ""response"": ""no-go"", ""trial_index"": 15}"
